"GEOID","city","zip","housing.cost","household.co2","housing.units.per.acre","pct.owner.occupied","hi.wage.workers.home","jobs.per.household","jobs.within.45.drive","weighted.jobs.within.45.drive"
"360010130001","Cohoes city, NY","12047",1522,10,3.03,0.91,206,0.031073,60107.8519,10595.5327989103
"360010130002","Cohoes city, NY","12047",1410,10.34,2.6,0.86,361,0.053068,59513.3004,13709.7771549139
"360010130003","Cohoes city, NY","12047",1366,7.3,8.75,0.42,276,0.017897,66788.7256,8934.97364420112
"360010130004","Cohoes city, NY","12047",1229,8.12,2.55,0.47,274,0.270922,65254.015,33964.8245042741
"360010130005","Cohoes city, NY","12047",1087,7.25,4.79,0.73,312,0.808883,65503.6514,58912.6235817945
"360010131001","Green Island village, NY","12183",1086,8.08,8.97,0.18,134,3.059574,72612.8006,127011.682242112
"360010131002","Green Island village, NY","12183",962,7.08,12.81,0.38,231,0.133652,71771.1753,26238.4266214694
"360010131003","Green Island village, NY","12183",1025,7.44,11.62,0.39,143,0.664987,72559.6343,59170.0127478158
"360010132001","Watervliet city, NY","12189",916,6.17,11.21,0.3,51,0.276923,77780.2971,40930.6943045631
"360010132002","Watervliet city, NY","12189",786,4.32,13.38,0.27,114,0.145604,80023.8554,30535.5765219227
"360010132003","Watervliet city, NY","12189",1127,8.07,8.3,0.41,72,1.28655,75665.1269,85824.0686737338
"360010132004","Watervliet city, NY","12189",1117,6.87,8.78,0.41,69,0.076923,70651.2507,19595.1215158558
"360010132005","Watervliet city, NY","12189",876,4.72,25.95,0.25,117,0.083942,72358.5116,20964.2476406286
"360010133001","Watervliet city, NY","12189",860,7.01,7.69,0.42,69,0.397638,74538.5741,47002.9397148551
"360010133002","Watervliet city, NY","12189",1231,7.54,9.43,0.55,170,0.238693,75831.0115,37048.1640008566
"360010133003","Watervliet city, NY","12189",1040,6.98,17.7,0.22,298,0.827075,75803.8273,68938.7779082277
"360010133004","Watervliet city, NY","12189",1086,7.22,8.23,0.57,136,0.221951,69526.888,32755.2820928554
"360010134001","Watervliet city, NY","12189",1121,7.59,8.79,0.8,88,0.284173,68935.2405,36747.9148302375
"360010134002","Watervliet city, NY","12189",1023,7.27,7.34,0.63,208,0.115183,67802.9955,23011.4017155251
"360010134003","Watervliet city, NY","12189",958,6.81,8,0.33,178,0.594235,68243.4862,52606.6102361331
"360010135031","","12047",2092,10.99,2.1,0.87,244,0.918478,73228.0526,70179.7576185668
"360010135031","","12110",2092,10.99,2.1,0.87,244,0.918478,73228.0526,70179.7576185668
"360010135032","","12047",1974,10.94,0.54,0.83,267,1.742919,66600.0377,87925.1417511183
"360010135032","","12110",1974,10.94,0.54,0.83,267,1.742919,66600.0377,87925.1417511183
"360010135033","","12189",1130,9.13,8.81,0.36,570,0.27834,63820.1651,33670.2030018193
"360010135051","","12110",1491,8.75,3.16,0.87,209,1.879679,82936.3641,113706.904548681
"360010135052","","12110",1618,9.35,2.05,0.96,448,1.647239,70097.0836,89965.9680685097
"360010135061","","12189",1726,9.36,1.84,0.73,715,0.781998,66003.7177,58367.517110903
"360010135061","","12110",1726,9.36,1.84,0.73,715,0.781998,66003.7177,58367.517110903
"360010135062","","12110",1497,9.36,2.41,0.95,446,0.273743,64984.9866,34000.4405999682
"360010135063","","12110",1274,7.44,3.55,0.32,408,1.148909,77124.4411,82667.507906636
"360010135071","","12110",1563,9.57,9.02,0.54,403,2.033007,78783.2291,112331.928362383
"360010135072","","12110",965,10.73,1.34,0.81,184,11.772152,76433.1918,262246.636228994
"360010135081","","12047",1992,12.3,1.72,0.8,454,0.446293,58777.5594,39266.4452292213
"360010135082","","12110",1734,9.72,2.71,0.96,596,1.350633,74621.7826,86723.0009608164
"360010135083","","12110",1776,10.36,4.01,0.65,607,3.679775,69115.0527,132581.606097599
"360010135083","","12047",1776,10.36,4.01,0.65,607,3.679775,69115.0527,132581.606097599
"360010135083","","12309",1776,10.36,4.01,0.65,607,3.679775,69115.0527,132581.606097599
"360010136011","","12189",1033,7.82,4.34,0.53,331,1.013672,65793.7567,66241.9959402386
"360010136011","","12204",1033,7.82,4.34,0.53,331,1.013672,65793.7567,66241.9959402386
"360010136012","","12211",1989,10.58,1.19,0.95,229,0.113806,85497.1274,28842.579795683
"360010136012","Menands village, NY","12204",1989,10.58,1.19,0.95,229,0.113806,85497.1274,28842.579795683
"360010136013","","12110",1632,11.56,1.57,0.97,238,1.153318,77824.5548,83577.8471341735
"360010136014","","12189",2284,9.42,1.3,0.91,624,3.776213,71918.7488,139755.968663284
"360010136014","","12211",2284,9.42,1.3,0.91,624,3.776213,71918.7488,139755.968663284
"360010136014","","12110",2284,9.42,1.3,0.91,624,3.776213,71918.7488,139755.968663284
"360010136015","","12189",1118,7.28,3.96,0.07,363,0.150461,68154.9285,26436.8214861122
"360010136021","","12204",1111,8.37,13.81,0.31,189,1.53867,80210.4005,99495.4975081138
"360010136022","Menands village, NY","12204",2029,9.16,3.26,0.64,412,2.232305,83129.217,124202.533827741
"360010136023","Menands village, NY","12204",1126,7.38,8.97,0.16,366,1.408467,81569.8767,96806.1935476643
"360010137031","","12110",1949,9.57,1.22,0.89,581,17.950249,74895.443,317315.022071761
"360010137031","","12205",1949,9.57,1.22,0.89,581,17.950249,74895.443,317315.022071761
"360010137031","","12309",1949,9.57,1.22,0.89,581,17.950249,74895.443,317315.022071761
"360010137031","","12211",1949,9.57,1.22,0.89,581,17.950249,74895.443,317315.022071761
"360010137051","","12211",1621,8.64,2.73,0.84,478,0.210273,80848.0962,37073.3262552268
"360010137051","","12205",1621,8.64,2.73,0.84,478,0.210273,80848.0962,37073.3262552268
"360010137052","","12205",1490,8.89,1.69,0.55,446,5.355372,81154.4378,187804.976148337
"360010137052","","12211",1490,8.89,1.69,0.55,446,5.355372,81154.4378,187804.976148337
"360010137053","","12205",1302,9.04,2.42,0.82,367,7.85693,86074.3937,241268.383365135
"360010137053","","12211",1302,9.04,2.42,0.82,367,7.85693,86074.3937,241268.383365135
"360010137054","","12205",1421,8.3,2.85,0.86,369,1.455296,85901.5242,103627.861897274
"360010137061","","12211",2146,10.62,1.32,0.94,585,1.574233,86194.694,108147.13986175
"360010137071","","12110",1701,9,60.04,0.75,708,1.391827,77779.1371,91760.4953239334
"360010137071","","12211",1701,9,60.04,0.75,708,1.391827,77779.1371,91760.4953239334
"360010137072","","12211",1732,9.73,1.76,0.98,608,0.363309,79581.6872,47967.9568569897
"360010137073","","12211",1903,10.47,2.49,0.97,293,0.511022,81755.979,58443.9179139387
"360010137073","","12110",1903,10.47,2.49,0.97,293,0.511022,81755.979,58443.9179139387
"360010138011","","12205",1445,10.55,1.79,1,179,0.01626,63984.6022,8158.9776762739
"360010138012","","12205",1515,9.3,1.81,0.76,467,2.804196,69121.1214,115748.389788901
"360010138013","","12205",1375,8.4,2.02,0.87,123,2.082988,73046.6974,105425.08730061
"360010138014","","12205",1270,7.99,3.68,0.56,106,4.24127,72359.4323,149019.503201535
"360010138015","","12304",1208,9.41,1.75,0.82,190,0.809717,58913.5728,53012.9521879826
"360010138015","","12205",1208,9.41,1.75,0.82,190,0.809717,58913.5728,53012.9521879826
"360010138016","","12304",1756,10.49,1.89,0.86,315,0.495268,62299.0755,43843.1486652722
"360010138017","","12304",1387,10.44,0.33,1,203,7.017007,55621.0201,147338.045523028
"360010138017","","12303",1387,10.44,0.33,1,203,7.017007,55621.0201,147338.045523028
"360010138017","","12205",1387,10.44,0.33,1,203,7.017007,55621.0201,147338.045523028
"360010138021","","12309",1898,11.81,1.94,0.98,542,0.059829,64795.3099,15848.911609274
"360010138021","","12205",1898,11.81,1.94,0.98,542,0.059829,64795.3099,15848.911609274
"360010138022","","12309",1866,10.85,1.46,1,217,0.003546,65418.8547,3895.58156726578
"360010138023","","12309",1351,11.29,1.78,0.94,506,0.087894,59650.6985,17684.5962169678
"360010138023","","12304",1351,11.29,1.78,0.94,506,0.087894,59650.6985,17684.5962169678
"360010139011","Colonie village, NY","12205",1360,8.81,3.07,0.99,307,1.171216,87197.0236,94367.0022843908
"360010139012","Colonie village, NY","12205",1418,9.94,1.68,0.85,324,8.101724,81208.599,231148.31940923
"360010139021","Colonie village, NY","12205",1556,9.35,2.9,0.78,503,1.522082,78754.7685,97161.8743659141
"360010139022","Colonie village, NY","12205",1487,9.79,2.94,0.97,163,1.429257,78762.1346,94161.3424913974
"360010139023","Colonie village, NY","12205",1459,8.54,2.48,0.7,583,2.963056,84382.098,145251.373847107
"360010140011","","12205",1289,7.04,4.03,0.37,573,1.759731,84613.8802,112244.418318924
"360010140012","","12205",1101,8.46,2.57,0.94,118,6.327869,90261.1374,227054.20102084
"360010140013","","12205",1288,8.79,3.63,0.79,118,9.996988,95502.3471,301959.453358898
"360010140021","","12205",1102,9.16,4.35,0.55,124,0.569079,90651.0143,68384.7002543273
"360010140022","","12205",1379,8.82,3.95,0.76,472,0.12259,80289.3037,28111.5773101271
"360010140023","","12205",1199,8.97,4.73,0.67,206,0.281369,89606.3284,47530.9840905941
"360010140024","","12205",1178,8.07,5.18,0.62,138,0.202899,89849.716,40472.1859717755
"360010141001","","12203",2001,10.24,1.54,0.91,423,0.196121,74287.6673,32898.7025592599
"360010141001","","12159",2001,10.24,1.54,0.91,423,0.196121,74287.6673,32898.7025592599
"360010141002","","12159",1640,7.04,5.28,0.39,379,0.04305,67251.3837,13953.6492589486
"360010141003","","12054",2511,10.23,1,0.97,409,1.635821,52601.8281,67277.3268655538
"360010141003","","12159",2511,10.23,1,0.97,409,1.635821,52601.8281,67277.3268655538
"360010141004","","12159",3268,10.77,0.81,1,196,3.270115,65540.6116,118520.098190405
"360010142011","","12054",1414,8.58,3.55,0.6,440,2.47619,56041.7436,88186.8076547607
"360010142012","","12054",1603,9.71,2.61,0.97,387,0.055901,56370.8219,13327.9745710876
"360010142013","","12077",1605,9.96,1.53,0.67,480,1.008739,57854.9414,58107.1886680058
"360010142013","","12054",1605,9.96,1.53,0.67,480,1.008739,57854.9414,58107.1886680058
"360010142014","","12077",1476,11.22,0.74,0.62,253,3.034946,67922.2597,118328.023437213
"360010142014","","12054",1476,11.22,0.74,0.62,253,3.034946,67922.2597,118328.023437213
"360010142021","","12054",1188,8.22,3.54,0.53,388,1.868307,58450.3832,79893.5066114367
"360010142022","","12054",1715,9.51,3.14,0.94,349,0.023148,58054.5111,8832.68431705342
"360010142023","","12054",2025,10.11,1.52,0.83,590,0.168373,52353.094,21482.1912187048
"360010142023","","12159",2025,10.11,1.52,0.83,590,0.168373,52353.094,21482.1912187048
"360010142024","","12054",1859,9.92,3.17,0.53,190,0.396825,49790.5531,31365.0845895783
"360010142024","","12159",1859,9.92,3.17,0.53,190,0.396825,49790.5531,31365.0845895783
"360010142031","","12054",2227,9.35,2.53,0.91,398,0.711572,55260.6823,46614.9977997927
"360010142032","","12054",2400,11.09,2.1,0.95,492,0.186335,54014.2198,23316.0686971926
"360010142033","","12054",2075,10.32,2.22,0.94,196,0.255725,54245.7586,27431.6783999673
"360010142034","","12054",2016,7.54,2.99,0.68,211,0.840295,56381.8593,51683.9006700553
"360010142035","","12054",1772,9.72,3.01,0.65,408,0.768606,57404.3621,50326.5060709014
"360010143011","","12158",1352,12.47,0.75,0.79,205,2.083333,38006.4997,54857.6526932633
"360010143012","","12077",1741,10.53,3.32,0.69,403,0.866935,40475.7926,37686.7450988345
"360010143012","","12158",1741,10.53,3.32,0.69,403,0.866935,40475.7926,37686.7450988345
"360010143021","","12077",2204,12.13,1.27,0.88,611,0.145455,42191.6375,16091.2843166774
"360010143021","","12158",2204,12.13,1.27,0.88,611,0.145455,42191.6375,16091.2843166774
"360010143021","","12054",2204,12.13,1.27,0.88,611,0.145455,42191.6375,16091.2843166774
"360010143022","","12158",925,11.34,1.32,0.86,308,0.368831,30666.2239,18624.0449112275
"360010143022","","12161",925,11.34,1.32,0.86,308,0.368831,30666.2239,18624.0449112275
"360010143022","","12143",925,11.34,1.32,0.86,308,0.368831,30666.2239,18624.0449112275
"360010143023","","12077",2150,10.15,2.14,0.96,477,0.073718,50372.539,13676.6777389623
"360010143023","","12054",2150,10.15,2.14,0.96,477,0.073718,50372.539,13676.6777389623
"360010143024","","12158",1696,12.1,1.13,0.77,567,0.696158,39446.9352,32912.9777211738
"360010143024","","12067",1696,12.1,1.13,0.77,567,0.696158,39446.9352,32912.9777211738
"360010144011","","12158",1098,10.45,1.79,0.64,341,0.115226,35060.7661,11901.3614304787
"360010144011","","12045",1098,10.45,1.79,0.64,341,0.115226,35060.7661,11901.3614304787
"360010144011","","12143",1098,10.45,1.79,0.64,341,0.115226,35060.7661,11901.3614304787
"360010144012","","12158",1631,12.31,0.51,0.83,320,0.923836,15903.503,15285.8726141871
"360010144012","","12143",1631,12.31,0.51,0.83,320,0.923836,15903.503,15285.8726141871
"360010144012","","12046",1631,12.31,0.51,0.83,320,0.923836,15903.503,15285.8726141871
"360010144013","","12158",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144013","","12046",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144013","","12067",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144013","","12007",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144013","","12143",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144013","","12087",1679,12.43,0.09,0.95,156,0.16087,17243.4924,6916.12383565005
"360010144021","Ravena village, NY","12143",1203,9.92,3.43,0.6,240,0.312804,26089.4359,14591.5301880287
"360010144022","Ravena village, NY","12158",1214,10.55,3.54,0.68,392,0.240278,24868.9503,12190.3018235513
"360010144022","Ravena village, NY","12143",1214,10.55,3.54,0.68,392,0.240278,24868.9503,12190.3018235513
"360010145011","","12159",1807,11.58,0.28,0.89,616,0.362624,36409.8795,21925.3994176381
"360010145011","","12186",1807,11.58,0.28,0.89,616,0.362624,36409.8795,21925.3994176381
"360010145011","","12009",1807,11.58,0.28,0.89,616,0.362624,36409.8795,21925.3994176381
"360010145012","","12203",2164,11.13,0.08,0.66,81,2.30625,43978.0774,66786.6148020294
"360010145012","","12159",2164,11.13,0.08,0.66,81,2.30625,43978.0774,66786.6148020294
