"GEOID","population","households","acreage","pct.housing.transpo.typical.income.household","pct.housing.typical.income","housing.cost","pct.transpo.typical.income.household","household.co2","autos.typical.income.household","typical.income.household.mileage","pct.transit.commuters.typical.income.household","typical.income.household.transpo.cost","typical.income.household.auto.ownership.cost","typical.income.household.mileage.cost","typical.income.household.transit.trips","overall.employment.index","employment.mix.index","housing.units.per.acre","walkable.index","gross.household.density","median.monthly.homeowner.cost","median.monthly.rent","pct.single.fam","pct.owner.occupied","pct.renter.occupied","cbsa.total.employ","cbsa.total.workers","pct.working.age","zero.auto","one.auto","two.plus.auto","num.workers.home","low.wage.home","med.wage.home","hi.wage.home","total.employ","retail.jobs","office.jobs","industrial.jobs","service.jobs","entertainment.jobs","education.jobs","healthcare.jobs","public.admin.jobs","job.type.mix","low.wage.work","med.wage.work","hi.wage.work","jobs.per.household","pct.bg.employ.near.transit","jobs.within.45.drive","workers.within.45.drive"
"360830402001",636,322,47.83,0.36,0.18,920,0.18,5.7,1.5,16528,0.08,11285,8579,2554,148,5.9,87,8.46,8.8,6.73,1303,710,0.21,0.35,0.65,412385,395114,0.77428,72,243,110,290,69,130,91,103,12,2,57,10,3,0,19,0,0.723116,35,28,40,0.303835,0,54763.5538,86460.348
"360830404001",1082,431,77.77,0.37,0.2,1022,0.17,5.84,1.42,15856,0.07,10695,8108,2450,133,8.1,88,8.54,9.1,5.54,1305,894,0.12,0.31,0.69,412385,395114,0.65018,258,280,95,440,149,202,89,127,7,0,12,10,2,0,96,0,0.534162,36,59,32,0.26294,0,65049.1792,94684.266
"360830410003",1683,662,202.93,0.4,0.22,1121,0.19,7.24,1.53,18028,0.06,11611,8706,2786,116,6.8,88,5.78,8.3,3.26,1459,950,0.19,0.34,0.66,412385,395114,0.83284,208,262,259,512,161,228,123,405,260,13,6,1,18,0,106,1,0.501655,214,131,60,0.627907,0,73703.511,101646.1749
"360830407004",1078,722,71.68,0.25,0.1,531,0.15,3.02,1.27,12798,0.14,9509,7264,1978,260,8.4,89,28.2,9.6,10.07,921,531,0,0.06,0.94,412385,395114,0.88324,441,171,102,293,78,141,74,2208,365,727,200,121,53,0,738,4,0.774572,287,980,941,3.578606,0,75455.6412,106143.6683
"360830402004",1101,441,62.05,0.37,0.19,1008,0.18,6.31,1.47,16161,0.08,11060,8410,2498,149,6.5,87,11.54,9,7.11,1350,832,0.15,0.34,0.66,412385,395114,0.7625,32,336,76,558,151,213,194,95,34,4,18,18,13,0,8,0,0.899696,45,31,19,0.240506,0,55429.8156,86145.0362
"360830408002",948,488,48.41,0.37,0.21,1097,0.16,5.37,1.36,13655,0.09,10011,7737,2110,160,8.1,89,22.75,9.5,10.08,2075,788,0.02,0.24,0.76,412385,395114,0.88394,171,187,270,481,119,190,172,101,6,1,32,36,6,18,0,2,0.769844,47,31,23,0.187037,0,67153.0423,97910.6203
"360930325021",1714,664,871.43,0.51,0.28,1470,0.23,9.52,1.87,22863,0.01,14207,10656,3533,18,6.8,85,1.57,3.4,0.76,1625,925,0.83,0.78,0.22,412385,395114,0.78255,9,177,524,932,224,271,437,175,81,1,47,23,2,1,6,14,0.675264,40,55,80,0.265957,0,34559.135,58955.431
"360010139011",953,369,298.45,0.48,0.27,1393,0.21,9.14,1.76,20586,0.01,13237,10047,3182,8,9.2,89,3.07,2.9,1.24,1436,853,0.95,0.93,0.07,412385,395114,0.79837,27,150,240,715,169,239,307,472,107,100,22,183,38,10,11,1,0.750501,169,214,89,1.171216,0,87197.0236,106243.0675
"360010132004",873,386,49.31,0.37,0.2,1020,0.17,6.29,1.44,15805,0.08,10761,8206,2443,109,8.2,88,8.78,9,7.83,1290,886,0.16,0.33,0.67,412385,395114,0.77947,29,106,196,272,80,123,69,23,1,0,6,2,14,0,0,0,0,10,9,4,0.076923,0,70651.2507,100919.9751
"360910612004",820,227,47.1,0.29,0.11,547,0.18,3.49,1.5,18821,0.05,11509,8560,2909,40,6.9,88,5.41,7.9,4.82,1313,547,0.17,0.21,0.79,412385,395114,0.96797,162,119,35,245,77,75,93,532,0,15,0,15,0,0,501,1,0.194456,91,341,100,2.086275,0,32782.581,50137.1098
"360830405002",1089,490,97.76,0.37,0.19,993,0.18,6.51,1.46,16749,0.06,11033,8325,2588,117,8.3,88,8.29,8.6,5.01,1592,691,0.19,0.33,0.67,412385,395114,0.71866,190,227,175,460,121,195,144,1310,4,4,98,52,0,73,1077,2,0.35419,193,508,609,2.734864,0,72496.6418,103381.4413
"360830407002",939,432,88.8,0.31,0.15,801,0.15,4.01,1.27,12500,0.13,9419,7241,1932,240,8.4,89,18.79,9.6,4.87,1338,801,0.06,0.02,0.98,412385,395114,0.91782,139,464,12,276,84,124,68,1366,121,217,246,211,106,42,214,209,0.955662,506,474,386,2.59203,0,71655.8163,101746.5446
"360830403001",820,346,56.67,0.41,0.22,1151,0.19,6.96,1.54,17564,0.07,11626,8788,2715,121,7.4,88,10.21,8.2,6.11,1500,867,0.34,0.45,0.55,412385,395114,0.70246,237,118,145,553,171,187,195,316,2,30,16,0,3,0,264,1,0.345613,94,162,60,0.718182,0,58238.3543,87432.0272
"360910609022",547,217,350.3,0.49,0.26,1354,0.23,9.79,1.89,23150,0,14370,10791,3578,1,2.7,83,1.88,5.1,0.62,1539,869,0.62,0.72,0.28,412385,395114,0.74851,16,91,176,300,89,121,90,23,0,0,14,5,0,0,4,0,0,16,6,1,0.090196,0,13708.6549,26811.9701
"360910610002",370,183,71.45,0.43,0.25,1279,0.19,6.96,1.55,18071,0.05,11657,8823,2793,41,6.9,88,7.58,8.3,2.56,1783,905,0.28,0.43,0.57,412385,395114,0.87578,0,119,207,196,53,68,75,1068,47,116,33,71,345,1,31,424,0.724847,248,361,459,4.188235,0,37198.899,54892.9846
"360830413001",988,315,190.13,0.35,0.17,889,0.18,5.46,1.48,17797,0.06,11327,8469,2750,104,8.4,88,5.23,8.3,1.66,1069,889,0.22,0.32,0.68,412385,395114,0.87719,59,233,99,485,123,145,217,1010,18,112,65,205,17,0,592,1,0.619034,286,428,296,2.869318,0,61580.3238,89686.6201
"360830517022",1519,566,584.46,0.48,0.25,1307,0.23,9.53,1.83,23200,0,14019,10424,3586,9,4.9,82,1.76,5.1,0.97,1660,743,0.69,0.61,0.39,412385,395114,0.78841,117,274,326,752,195,277,280,340,26,20,8,8,1,25,252,0,0.49887,123,181,36,0.512048,0,8795.1637,17398.982
"360830402002",1273,567,42.34,0.36,0.18,933,0.18,5.7,1.46,15897,0.09,10948,8329,2457,159,6.1,87,16.31,9.1,13.39,1518,739,0.13,0.25,0.75,412385,395114,0.83875,189,136,153,266,65,125,76,310,0,207,0,20,55,17,11,0,0.640587,72,95,143,0.70615,0,55945.9801,87847.2443
"360830405001",1108,342,108.07,0.32,0.14,726,0.18,6.71,1.46,16884,0.04,11022,8341,2609,70,8.2,88,5.86,8.6,3.16,1297,568,0.18,0.22,0.78,412385,395114,0.61686,48,196,127,348,128,146,74,5,0,5,0,0,0,0,0,0,0,1,0,4,0.014706,0,64430.5451,93080.2025
